Company,Change,open,high,low,Volume,Market Cap
1-800-FLOWERS.COM INC.,7.16,-1.38%,7.25,7.25,7.01,"483,074"
10X GENOMICS INC.,15.58,-1.58%,15.28,15.65,14.88,"1,490,984"
111 INC. ADS,0.4920,-8.89%,0.5300,0.5300,0.4900,"562,064"
17 EDUCATION & TECHNOLOGY GROUP,1.72,+0.58%,1.79,1.79,1.70,"3,849"
180 DEGREE CAPITAL,3.63,+1.11%,3.53,3.67,3.53,"2,477"
180 LIFE SCIENCES,1.51,+0.00%,1.50,1.53,1.43,"962,104"
1895 BANCORP OF WISCONSIN INC.,9.93,-0.20%,10.01,10.01,9.03,"2,953"
1ST SOURCE CORP.,54.91,-3.65%,56.05,56.05,54.19,"70,734"
1STDIBS.COM INC.,3.51,+0.57%,3.45,3.56,3.40,"84,784"
22ND CENTURY GROUP INC,4.89,-39.63%,5.69,5.77,4.80,"327,998"
23ANDME HOLDING CO.,3.84,-5.19%,4.00,4.06,3.83,"189,701"
2SEVENTY BIO INC.,2.49,-7.43%,2.60,2.61,2.44,"397,390"
3 E NETWORK TECHNOLOGY GROUP LTD,2.83,-12.92%,3.29,3.38,2.82,"128,332"
36KR HOLDINGS INC. ADS,3.37,+5.64%,3.29,3.43,3.26,"6,638"
374WATER INC.,0.6272,-7.90%,0.6813,0.7100,0.6010,"1,602,298"
4D MOLECULAR THERAPEUTICS INC.,5.52,-5.48%,5.94,6.01,5.36,"706,753"
5E ADVANCED MATERIALS INC.,0.5660,-7.21%,0.6100,0.6499,0.5540,"127,944"
60 DEGREES PHARMACEUTICALS,1.05,-3.67%,1.11,1.13,0.94,"549,478"
89BIO INC.,6.51,-11.43%,7.31,7.31,6.26,"1,119,173"
8X8 INC,2.59,-2.26%,2.58,2.62,2.56,"653,511"
908 DEVICES INC.,2.26,+11.88%,2.17,2.40,2.10,"654,405"
9F INC. ADS,1.54,+1.99%,1.52,1.54,1.52,"1,263"
A SPAC III ACQUISITION,0.1100,+0.00%,0.1120,0.1120,0.1100,"10,435"
A SPAC III ACQUISITION,10.09,+0.10%,10.20,10.30,10.08,"3,541"
A-MARK PRECIOUS METALS INC.,28.08,+0.86%,27.69,28.20,27.42,"198,901"
A2Z CUST2MATE SOLUTIONS,6.79,+0.74%,6.62,6.93,6.38,"41,127"
AADI BIOSCIENCE INC.,3.60,+0.00%,3.63,3.65,3.49,"568,523"
AAON INC.,122.07,+1.56%,118.50,123.43,118.06,"522,892"
ABACUS LIFE,25.63,-14.22%,29.02,31.05,25.41,"31,994"
ABACUS LIFE INC.,6.92,-6.36%,7.40,7.43,6.84,"617,468"
ABACUS LIFE INC.,6.92,-6.36%,7.40,7.43,6.84,"617,468"
ABCELLERA BIOLOGICS INC.,2.92,-3.63%,2.98,2.99,2.87,"3,363,170"
ABEONA THERAPEUTICS INC.,5.55,-6.88%,5.88,5.96,5.48,"361,769"
ABITS GROUP INC,0.4501,+0.81%,0.4443,0.5190,0.4305,"53,806"
ABIVAX SA ADS,6.38,-4.49%,6.80,6.85,6.26,"211,089"
ABLE VIEW GLOBAL INC.,0.9560,-7.18%,1.0400,1.0400,0.9560,"4,202"
ABOVE FOOD INGREDIENTS INC.,0.4502,+9.51%,0.4106,0.4600,0.4106,"81,750"
ABPRO HOLDINGS INC,1.37,+6.20%,1.42,1.42,1.32,"53,669"
ABSCI CORP.,2.86,-11.18%,3.08,3.09,2.81,"8,321,583"
ABVC BIOPHARMA INC.,0.5540,+3.75%,0.5570,0.5682,0.5010,"154,384"
AC IMMUNE SA,2.72,-2.86%,2.82,2.85,2.66,"73,277"
ACACIA RESEARCH,4.22,-0.94%,4.23,4.24,4.16,"176,094"
ACADEMY SPORTS AND OUTDOORS,57.70,-1.97%,58.06,59.12,57.65,"1,575,441"
ACADIA HEALTHCARE CO.,44.92,-0.44%,45.04,45.64,44.88,"1,930,656"
ACADIA PHARMACEUTICALS INC.,17.26,-1.93%,17.23,17.72,17.08,"2,375,373"
ACCELERATE DIAGNOSTICS INC.,1.20,+7.14%,1.13,1.21,1.06,"67,482"
ACCOLADE INC.,6.83,-0.44%,6.86,6.88,6.83,"11,365,476"
ACCURAY INC.,2.14,+0.47%,2.12,2.17,2.04,"560,753"
ACELYRIN INC.,2.06,-3.74%,2.08,2.14,2.02,"1,437,394"
ACHIEVE LIFE SCIENCES INC.,3.38,-3.98%,3.52,3.53,3.37,"239,252"
ACHILLES THERAPEUTICS PLC ADS,1.18,-0.84%,1.19,1.20,1.15,"279,108"
ACI WORLDWIDE INC.,51.34,-1.50%,51.12,51.80,50.88,"737,377"
