Company,Change,Open,High,Low,Volume,Market Cap
1-800-FLOWERS.COM INC.,8.03,-0.74%,8.48,8.48,7.57,"1,589,679"
10X GENOMICS INC.,15.00,-0.53%,15.18,15.50,14.80,"1,822,587"
111 INC. ADS,5.82,+1.39%,5.58,5.86,5.57,"31,874"
17 EDUCATION & TECHNOLOGY GROUP,1.90,+0.00%,1.90,1.91,1.90,"3,964"
180 DEGREE CAPITAL,4.01,+0.50%,4.00,4.01,3.91,"37,301"
180 LIFE SCIENCES,1.40,-2.78%,1.47,1.51,1.40,"81,695"
1895 BANCORP OF WISCONSIN INC.,9.79,-1.81%,9.52,9.90,9.52,"3,786"
1ST SOURCE CORP.,62.72,-0.24%,62.57,63.87,62.11,"86,545"
1STDIBS.COM INC.,3.89,+6.58%,3.64,3.92,3.63,"174,733"
22ND CENTURY GROUP INC,4.11,+1.23%,4.05,4.25,4.01,"99,739"
23ANDME HOLDING CO.,3.10,-9.09%,3.37,3.40,3.06,"272,783"
2SEVENTY BIO INC.,2.66,+1.53%,2.66,2.83,2.56,"373,147"
3 E NETWORK TECHNOLOGY GROUP LTD,2.86,-1.72%,2.88,3.07,2.76,"189,641"
36KR HOLDINGS INC. ADS,6.50,-5.93%,7.03,7.32,5.54,"171,601"
374WATER INC.,0.5152,-7.80%,0.5600,0.5737,0.5026,"136,023"
4D MOLECULAR THERAPEUTICS INC.,5.60,+0.00%,5.62,5.64,5.30,"851,454"
5E ADVANCED MATERIALS INC.,0.3950,-1.25%,0.4200,0.4200,0.3812,"72,820"
60 DEGREES PHARMACEUTICALS,0.7263,-9.21%,0.7801,0.8000,0.7000,"1,361,384"
89BIO INC.,9.60,-0.41%,9.85,9.90,9.37,"2,982,656"
8X8 INC,2.80,-4.76%,2.92,3.01,2.78,"622,668"
908 DEVICES INC.,2.50,-2.72%,2.61,2.73,2.48,"229,669"
9F INC. ADS,1.55,+0.65%,1.52,1.58,1.52,"8,451"
A SPAC III ACQUISITION,10.20,+0.00%,10.20,10.20,10.20,500
A SPAC III ACQUISITION,0.1500,+7.14%,0.1500,0.1500,0.1500,373
A-MARK PRECIOUS METALS INC.,28.17,-0.21%,28.23,28.70,27.71,"223,754"
A2Z CUST2MATE SOLUTIONS,7.40,+0.00%,7.40,7.69,7.25,"61,905"
AADI BIOSCIENCE INC.,2.88,+0.00%,2.88,2.98,2.83,"112,567"
AAON INC.,116.38,-0.19%,117.09,118.88,114.39,"913,226"
ABACUS LIFE,27.28,+0.11%,27.28,27.28,27.28,582
ABACUS LIFE INC.,7.79,-1.27%,7.92,8.00,7.70,"294,464"
ABCELLERA BIOLOGICS INC.,3.17,-1.86%,3.26,3.32,3.13,"3,081,877"
ABEONA THERAPEUTICS INC.,5.54,+1.28%,5.47,5.68,5.47,"237,491"
ABITS GROUP INC,0.4640,-9.75%,0.5076,0.5141,0.4640,"20,399"
ABIVAX SA ADS,5.97,+1.19%,6.18,6.18,5.92,"131,390"
ABLE VIEW GLOBAL INC.,1.05,-7.08%,1.13,1.13,1.02,"2,245"
ABOVE FOOD INGREDIENTS INC.,0.4700,-8.56%,0.4800,0.5700,0.4510,"796,701"
ABPRO HOLDINGS INC,0.9513,-7.64%,1.0300,1.1478,0.9513,"70,847"
ABSCI CORP.,3.71,-2.88%,3.90,4.01,3.63,"3,554,895"
ABVC BIOPHARMA INC.,0.5170,-0.58%,0.5200,0.5264,0.5030,"88,004"
AC IMMUNE SA,2.75,+1.85%,2.75,2.80,2.73,"538,958"
ACACIA RESEARCH,4.36,-0.46%,4.40,4.53,4.34,"138,328"
ACADEMY SPORTS AND OUTDOORS,52.31,-4.33%,54.33,54.80,51.90,"1,846,888"
ACADIA HEALTHCARE CO.,45.11,+0.02%,45.11,45.41,44.75,"978,342"
ACADIA PHARMACEUTICALS INC.,18.66,-0.16%,18.77,19.00,18.53,"1,236,077"
ACCELERATE DIAGNOSTICS INC.,1.35,+2.27%,1.35,1.37,1.30,"16,111"
ACCOLADE INC.,6.89,+0.15%,6.87,6.91,6.87,"1,677,385"
ACCURAY INC.,2.23,-3.88%,2.33,2.33,2.22,"510,444"
